survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,tail_contrast,upper_tail_excess_cm,monitoring_gap_days,plot_segment
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.5 mm predicted (solid red),90th minus |10th|,1.1833333333333345,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.5 mm predicted (solid red),90th minus |10th|,5.166666666666667,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.5 mm predicted (solid red),90th minus |10th|,-2.220446049250313e-16,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.5 mm predicted (solid red),90th minus |10th|,0.6666666666666666,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.5 mm predicted (solid red),90th minus |10th|,0.8166666666666675,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.5 mm predicted (solid red),90th minus |10th|,-0.033333333333331217,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.5 mm predicted (solid red),90th minus |10th|,-0.16666666666666652,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.5 mm predicted (solid red),90th minus |10th|,-0.48333333333333295,14,2
Con25,25,2026-04-17,2026-04-17,2026-04-17,1.5 mm predicted (solid red),90th minus |10th|,-0.9833333333333332,10,2
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.5 mm predicted (solid red),99th minus |1st|,-1,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.5 mm predicted (solid red),99th minus |1st|,-0.16500000000000092,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.5 mm predicted (solid red),99th minus |1st|,-0.32833333333333314,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.5 mm predicted (solid red),99th minus |1st|,0.4983333333333322,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.5 mm predicted (solid red),99th minus |1st|,-0.6633333333333331,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.5 mm predicted (solid red),99th minus |1st|,-0.33500000000000063,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.5 mm predicted (solid red),99th minus |1st|,-0.3350000000000022,9,1
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.5 mm predicted (solid red),99th minus |1st|,8.826666666666664,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.5 mm predicted (solid red),99th minus |1st|,8.916666666666666,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.5 mm predicted (solid red),99th minus |1st|,-0.665,12,1
